name,slug,igdb_rating,genres,platforms,developers,release_year
Cyberpunk 2077: Ultimate Edition,cyberpunk-2077-ultimate-edition,94.4,"[{""name"": ""Shooter""}, {""name"": ""Role-playing (RPG)""}, {""name"": ""Adventure""}]","[{""name"": ""Xbox Series X|S""}, {""name"": ""Nintendo Switch 2""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""PlayStation 5""}, {""name"": ""Mac""}]","[{""name"": ""CD Projekt RED""}]",Cyberpunk
Steambot Chronicles,steambot-chronicles-2,94.4,"[""Role-playing (RPG)"", ""Adventure""]",,,Steambot
Steambot Chronicles,steambot-chronicles,94.4,"[""Role-playing (RPG)"", ""Adventure""]","[{""name"": ""PlayStation 2""}]","[{""name"": ""Irem""}]",Steambot
Persona 5 Royal,persona-5-royal-2,94.3,"[""Role-playing (RPG)"", ""Adventure""]",,,Persona
Persona 5 Royal,persona-5-royal,94.3,"[""Role-playing (RPG)"", ""Adventure""]","[{""name"": ""Xbox Series X|S""}, {""name"": ""PlayStation 4""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""PlayStation 5""}, {""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}]","[{""name"": ""Atlus""}, {""name"": ""P Studio""}]",Persona
Persona 4 Golden,persona-4-golden,94.3,"[""Role-playing (RPG)"", ""Adventure""]","[{""name"": ""PlayStation Vita""}]","[{""name"": ""Atlus""}]",Persona
Persona 4 Golden,persona-4-golden--1,94.3,"[{""name"": ""Role-playing (RPG)""}, {""name"": ""Adventure""}, {""name"": ""Visual Novel""}]","[{""name"": ""Xbox Series X|S""}, {""name"": ""PlayStation 4""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}]","[{""name"": ""Atlus""}]",Persona
Disco Elysium: The Final Cut,disco-elysium-the-final-cut,94.3,"[{""name"": ""Role-playing (RPG)""}, {""name"": ""Adventure""}, {""name"": ""Indie""}]","[{""name"": ""Google Stadia""}, {""name"": ""Xbox Series X|S""}, {""name"": ""PlayStation 4""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""PlayStation 5""}, {""name"": ""Mac""}, {""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}]","[{""name"": ""ZA/UM""}]",Disco
Arc the Lad II,arc-the-lad-ii,94.3,"[""Role-playing (RPG)"", ""Strategy"", ""Turn-based strategy (TBS)"", ""Tactical"", ""Adventure""]",,,Arc
NextWorld2,nextworld2--1,94.2,"[{""name"": ""Role-playing (RPG)""}, {""name"": ""Hack and slash/Beat 'em up""}]","[{""name"": ""PC (Microsoft Windows)""}]","[{""name"": ""Donut Interactive""}]",NextWorld2
Donkey Kong Bananza,donkey-kong-bananza-2,94.1,"[""Platform"", ""Adventure""]",,,Donkey
Donkey Kong Bananza,donkey-kong-bananza,94.1,"[""Platform"", ""Adventure""]","[{""name"": ""Nintendo Switch 2""}, {""name"": ""Nintendo Switch""}]","[{""name"": ""Nintendo EPD""}, {""name"": ""Nintendo EPD Production Group No. 8""}]",Donkey
Bloodborne: The Old Hunters,bloodborne-the-old-hunters--1,94.0,"[{""name"": ""Role-playing (RPG)""}, {""name"": ""Adventure""}]","[{""name"": ""PlayStation 4""}]","[{""name"": ""FromSoftware""}]",Bloodborne
Derail Valley,derail-valley-2,94.0,"[""Racing"", ""Simulator"", ""Adventure"", ""Indie""]",,,Derail
Bloodborne: The Old Hunters,bloodborne-the-old-hunters,94.0,"[""Role-playing (RPG)"", ""Adventure""]",,,Bloodborne
Elden Ring,elden-ring,94.0,"[{""name"": ""Role-playing (RPG)""}, {""name"": ""Adventure""}]","[{""name"": ""Xbox Series X|S""}, {""name"": ""PlayStation 4""}, {""name"": ""Nintendo Switch 2""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""PlayStation 5""}, {""name"": ""Xbox One""}]","[{""name"": ""FromSoftware""}]",Elden
Derail Valley,derail-valley,94.0,"[""Racing"", ""Simulator"", ""Adventure"", ""Indie""]","[""PC""]",,Derail
Elden Ring,elden-ring-2,94.0,"[""Role-playing (RPG)"", ""Adventure""]",,,Elden
The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt,93.9,"[{""name"": ""Role-playing (RPG)""}, {""name"": ""Adventure""}]","[{""name"": ""Xbox Series X|S""}, {""name"": ""PlayStation 4""}, {""name"": ""PC (Microsoft Windows)""}, {""name"": ""PlayStation 5""}, {""name"": ""Xbox One""}, {""name"": ""Nintendo Switch""}]","[{""name"": ""CD Projekt RED""}]",
The Witcher 3: Wild Hunt,the-witcher-3-wild-hunt-2,93.9,"[""Role-playing (RPG)"", ""Adventure""]",,,
Mega Man ZX Advent,mega-man-zx-advent-2,93.8,"[""Shooter"", ""Platform"", ""Adventure""]",,,Mega
Mega Man ZX Advent,mega-man-zx-advent,93.8,"[{""name"": ""Shooter""}, {""name"": ""Platform""}, {""name"": ""Adventure""}]","[{""name"": ""Nintendo DS""}]","[{""name"": ""Inti Creates""}]",Mega
